recording_id	source_id	relationship_type	source_reference	confidence	review_status
REC000068	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000069	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000070	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000071	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000072	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000073	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000074	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000075	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000076	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000077	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000078	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000079	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000080	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000081	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000082	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000083	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000084	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
