recording_id	label_id	relationship_type	source_id	confidence	review_status
REC000036	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000037	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000038	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000039	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000040	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000041	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000042	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000043	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000044	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000045	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000046	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000047	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000048	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000049	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000050	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000051	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000052	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000053	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000054	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000055	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000056	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000057	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000058	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000059	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000060	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000061	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000062	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000063	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000064	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000065	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000066	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000067	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000068	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000069	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000070	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000071	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000072	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000073	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000074	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000075	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000076	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000077	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000078	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000079	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000080	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000081	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000082	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000083	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000084	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000085	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000086	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000087	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000088	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000089	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000090	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000091	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000092	LBL000002	recording_label	SRC0001	medium	needs_review
REC000093	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000094	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000095	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000096	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000097	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000098	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000099	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000100	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000101	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000102	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000103	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000104	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000105	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000106	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000107	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000108	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000109	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000110	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000111	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000112	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000113	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000114	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000115	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000116	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000117	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000118	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000119	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000120	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000121	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000122	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000123	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000124	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000125	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000126	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000127	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000128	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000129	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000130	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000131	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000132	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000133	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000134	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000135	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000136	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000137	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000138	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000139	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000140	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000141	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000142	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000143	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000144	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000145	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000146	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000147	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000148	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000149	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000150	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000151	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000152	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000153	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000154	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000155	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000156	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000157	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000158	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000159	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000160	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000161	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000162	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000163	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000164	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000165	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000166	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000167	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000168	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000169	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000170	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000171	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000172	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000173	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000174	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000175	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000176	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000177	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000178	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000179	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000180	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000181	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000182	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000183	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000184	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000185	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000186	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000187	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000188	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000189	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000190	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000191	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000192	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000193	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000194	LBL000002	recording_label	SRC0001	high	raw_extracted
